,Quarter,Region,State,Purpose,Trips
145,1/01/2015,Adelaide,South Australia,Holiday,214.2565621
146,1/04/2015,Adelaide,South Australia,Holiday,125.0024901
147,1/07/2015,Adelaide,South Australia,Holiday,130.510519
148,1/10/2015,Adelaide,South Australia,Holiday,180.5502086
149,1/01/2016,Adelaide,South Australia,Holiday,194.9879354
150,1/04/2016,Adelaide,South Australia,Holiday,177.1418065
151,1/07/2016,Adelaide,South Australia,Holiday,154.1169205
152,1/10/2016,Adelaide,South Australia,Holiday,147.1019643
153,1/01/1998,Adelaide,South Australia,Other,58.3626891
154,1/04/1998,Adelaide,South Australia,Other,39.4687353
155,1/07/1998,Adelaide,South Australia,Other,38.431629
156,1/10/1998,Adelaide,South Australia,Other,33.7915233
157,1/01/1999,Adelaide,South Australia,Other,25.9018459
158,1/04/1999,Adelaide,South Australia,Other,54.5493233
159,1/07/1999,Adelaide,South Australia,Other,28.7145367
160,1/10/1999,Adelaide,South Australia,Other,44.903216
161,1/01/2000,Adelaide,South Australia,Other,56.4463277
162,1/04/2000,Adelaide,South Australia,Other,80.9540403
163,1/07/2000,Adelaide,South Australia,Other,40.340643
164,1/10/2000,Adelaide,South Australia,Other,47.349627
165,1/01/2001,Adelaide,South Australia,Other,36.8334712
166,1/04/2001,Adelaide,South Australia,Other,65.0079823
167,1/07/2001,Adelaide,South Australia,Other,54.7317678
168,1/10/2001,Adelaide,South Australia,Other,56.2549271
169,1/01/2002,Adelaide,South Australia,Other,41.5928159
170,1/04/2002,Adelaide,South Australia,Other,36.6562369
171,1/07/2002,Adelaide,South Australia,Other,50.8411344
172,1/10/2002,Adelaide,South Australia,Other,43.8577248
173,1/01/2003,Adelaide,South Australia,Other,40.1157815
174,1/04/2003,Adelaide,South Australia,Other,64.3621483
175,1/07/2003,Adelaide,South Australia,Other,44.4441751
176,1/10/2003,Adelaide,South Australia,Other,43.3242303
177,1/01/2004,Adelaide,South Australia,Other,42.3108254
178,1/04/2004,Adelaide,South Australia,Other,56.0269055
179,1/07/2004,Adelaide,South Australia,Other,59.2224325
180,1/10/2004,Adelaide,South Australia,Other,57.6255736
181,1/01/2005,Adelaide,South Australia,Other,49.7870409
182,1/04/2005,Adelaide,South Australia,Other,49.2945724
183,1/07/2005,Adelaide,South Australia,Other,31.9925869
184,1/10/2005,Adelaide,South Australia,Other,55.8062237
185,1/01/2006,Adelaide,South Australia,Other,50.236464
186,1/04/2006,Adelaide,South Australia,Other,55.449475
187,1/07/2006,Adelaide,South Australia,Other,54.776388
188,1/10/2006,Adelaide,South Australia,Other,41.805042
189,1/01/2007,Adelaide,South Australia,Other,41.2923221
190,1/04/2007,Adelaide,South Australia,Other,49.9884623
191,1/07/2007,Adelaide,South Australia,Other,55.0872166
192,1/10/2007,Adelaide,South Australia,Other,51.7531199
193,1/01/2008,Adelaide,South Australia,Other,43.8686265
194,1/04/2008,Adelaide,South Australia,Other,37.5657883
195,1/07/2008,Adelaide,South Australia,Other,46.4611953
196,1/10/2008,Adelaide,South Australia,Other,44.106251
197,1/01/2009,Adelaide,South Australia,Other,52.0594965
198,1/04/2009,Adelaide,South Australia,Other,52.4399762
199,1/07/2009,Adelaide,South Australia,Other,56.0704944
200,1/10/2009,Adelaide,South Australia,Other,41.9836801
201,1/01/2010,Adelaide,South Australia,Other,43.76536
202,1/04/2010,Adelaide,South Australia,Other,55.7404317
203,1/07/2010,Adelaide,South Australia,Other,53.0696029
204,1/10/2010,Adelaide,South Australia,Other,55.3062409
205,1/01/2011,Adelaide,South Australia,Other,70.1165861
206,1/04/2011,Adelaide,South Australia,Other,56.6278031
207,1/07/2011,Adelaide,South Australia,Other,61.9101303
208,1/10/2011,Adelaide,South Australia,Other,57.9282548
209,1/01/2012,Adelaide,South Australia,Other,58.2204869
210,1/04/2012,Adelaide,South Australia,Other,88.1216209
211,1/07/2012,Adelaide,South Australia,Other,66.8339913
212,1/10/2012,Adelaide,South Australia,Other,42.2232428
213,1/01/2013,Adelaide,South Australia,Other,52.7758394
214,1/04/2013,Adelaide,South Australia,Other,52.4453248
215,1/07/2013,Adelaide,South Australia,Other,79.5717441
216,1/10/2013,Adelaide,South Australia,Other,101.7222527
217,1/01/2014,Adelaide,South Australia,Other,61.9746584
218,1/04/2014,Adelaide,South Australia,Other,66.2706781
219,1/07/2014,Adelaide,South Australia,Other,51.6426037
220,1/10/2014,Adelaide,South Australia,Other,68.0916207
221,1/01/2015,Adelaide,South Australia,Other,58.8773942
222,1/04/2015,Adelaide,South Australia,Other,69.6538907
223,1/07/2015,Adelaide,South Australia,Other,46.7824002
224,1/10/2015,Adelaide,South Australia,Other,40.8500667
225,1/01/2016,Adelaide,South Australia,Other,60.7569305
226,1/04/2016,Adelaide,South Australia,Other,80.4886879
227,1/07/2016,Adelaide,South Australia,Other,81.7148422
228,1/10/2016,Adelaide,South Australia,Other,83.5487847
229,1/01/1998,Adelaide,South Australia,Visiting,241.5561095
230,1/04/1998,Adelaide,South Australia,Visiting,170.1105142
231,1/07/1998,Adelaide,South Australia,Visiting,232.3488833
232,1/10/1998,Adelaide,South Australia,Visiting,180.9617928
233,1/01/1999,Adelaide,South Australia,Visiting,199.711846
234,1/04/1999,Adelaide,South Australia,Visiting,179.5662015
235,1/07/1999,Adelaide,South Australia,Visiting,203.9482412
236,1/10/1999,Adelaide,South Australia,Visiting,214.4801446
237,1/01/2000,Adelaide,South Australia,Visiting,251.7557851
238,1/04/2000,Adelaide,South Australia,Visiting,178.6629738
239,1/07/2000,Adelaide,South Australia,Visiting,147.5333628
240,1/10/2000,Adelaide,South Australia,Visiting,213.1198656
241,1/01/2001,Adelaide,South Australia,Visiting,239.9944022
242,1/04/2001,Adelaide,South Australia,Visiting,155.6012016
243,1/07/2001,Adelaide,South Australia,Visiting,162.7763442
244,1/10/2001,Adelaide,South Australia,Visiting,256.3846773
245,1/01/2002,Adelaide,South Australia,Visiting,198.208282
246,1/04/2002,Adelaide,South Australia,Visiting,250.1651577
247,1/07/2002,Adelaide,South Australia,Visiting,223.3220049
248,1/10/2002,Adelaide,South Australia,Visiting,189.6923009
249,1/01/2003,Adelaide,South Australia,Visiting,230.0463821
250,1/04/2003,Adelaide,South Australia,Visiting,173.4722393
251,1/07/2003,Adelaide,South Australia,Visiting,175.135268
252,1/10/2003,Adelaide,South Australia,Visiting,208.7591977
253,1/01/2004,Adelaide,South Australia,Visiting,265.7548591
254,1/04/2004,Adelaide,South Australia,Visiting,213.8409703
255,1/07/2004,Adelaide,South Australia,Visiting,183.408378
256,1/10/2004,Adelaide,South Australia,Visiting,231.7860383
257,1/01/2005,Adelaide,South Australia,Visiting,261.8095196
258,1/04/2005,Adelaide,South Australia,Visiting,176.1852599
259,1/07/2005,Adelaide,South Australia,Visiting,165.3942311
260,1/10/2005,Adelaide,South Australia,Visiting,182.0362393
261,1/01/2006,Adelaide,South Australia,Visiting,218.827553
262,1/04/2006,Adelaide,South Australia,Visiting,194.114447
263,1/07/2006,Adelaide,South Australia,Visiting,163.068442
264,1/10/2006,Adelaide,South Australia,Visiting,220.230351
265,1/01/2007,Adelaide,South Australia,Visiting,246.2381097
266,1/04/2007,Adelaide,South Australia,Visiting,220.738877
267,1/07/2007,Adelaide,South Australia,Visiting,188.9236406
268,1/10/2007,Adelaide,South Australia,Visiting,223.1513123
269,1/01/2008,Adelaide,South Australia,Visiting,243.6220677
270,1/04/2008,Adelaide,South Australia,Visiting,186.8657264
271,1/07/2008,Adelaide,South Australia,Visiting,179.00034
272,1/10/2008,Adelaide,South Australia,Visiting,218.8652874
273,1/01/2009,Adelaide,South Australia,Visiting,193.9363459
274,1/04/2009,Adelaide,South Australia,Visiting,166.5628643
275,1/07/2009,Adelaide,South Australia,Visiting,206.980141
276,1/10/2009,Adelaide,South Australia,Visiting,199.9165145
277,1/01/2010,Adelaide,South Australia,Visiting,177.3642501
278,1/04/2010,Adelaide,South Australia,Visiting,190.3976189
279,1/07/2010,Adelaide,South Australia,Visiting,136.6111544
280,1/10/2010,Adelaide,South Australia,Visiting,174.7713795
281,1/01/2011,Adelaide,South Australia,Visiting,213.8757276
282,1/04/2011,Adelaide,South Australia,Visiting,185.397534
283,1/07/2011,Adelaide,South Australia,Visiting,145.3488
284,1/10/2011,Adelaide,South Australia,Visiting,206.5681484
285,1/01/2012,Adelaide,South Australia,Visiting,177.4265611
286,1/04/2012,Adelaide,South Australia,Visiting,165.9582747
287,1/07/2012,Adelaide,South Australia,Visiting,174.4469643
288,1/10/2012,Adelaide,South Australia,Visiting,236.4678649
289,1/01/2013,Adelaide,South Australia,Visiting,177.7299619
290,1/04/2013,Adelaide,South Australia,Visiting,213.4183644
291,1/07/2013,Adelaide,South Australia,Visiting,197.1145928
292,1/10/2013,Adelaide,South Australia,Visiting,180.1940008
293,1/01/2014,Adelaide,South Australia,Visiting,231.4417583
294,1/04/2014,Adelaide,South Australia,Visiting,271.6676219
295,1/07/2014,Adelaide,South Australia,Visiting,150.1489141
296,1/10/2014,Adelaide,South Australia,Visiting,266.3051506
297,1/01/2015,Adelaide,South Australia,Visiting,215.3990872
298,1/04/2015,Adelaide,South Australia,Visiting,223.3509723
299,1/07/2015,Adelaide,South Australia,Visiting,190.545635
300,1/10/2015,Adelaide,South Australia,Visiting,260.6050131
301,1/01/2016,Adelaide,South Australia,Visiting,259.8811767
302,1/04/2016,Adelaide,South Australia,Visiting,219.1658594
303,1/07/2016,Adelaide,South Australia,Visiting,203.7540928
304,1/10/2016,Adelaide,South Australia,Visiting,251.2916838
305,1/01/1998,Adelaide Hills,South Australia,Business,0
306,1/04/1998,Adelaide Hills,South Australia,Business,0
307,1/07/1998,Adelaide Hills,South Australia,Business,7.4175726
308,1/10/1998,Adelaide Hills,South Australia,Business,0
309,1/01/1999,Adelaide Hills,South Australia,Business,0.669801
310,1/04/1999,Adelaide Hills,South Australia,Business,0.9485634
311,1/07/1999,Adelaide Hills,South Australia,Business,0
312,1/10/1999,Adelaide Hills,South Australia,Business,0
313,1/01/2000,Adelaide Hills,South Australia,Business,0
314,1/04/2000,Adelaide Hills,South Australia,Business,0.6234467
315,1/07/2000,Adelaide Hills,South Australia,Business,4.9205512
316,1/10/2000,Adelaide Hills,South Australia,Business,7.2571081
317,1/01/2001,Adelaide Hills,South Australia,Business,0
318,1/04/2001,Adelaide Hills,South Australia,Business,5.4055598
319,1/07/2001,Adelaide Hills,South Australia,Business,1.8786155
320,1/10/2001,Adelaide Hills,South Australia,Business,0.9916063
321,1/01/2002,Adelaide Hills,South Australia,Business,0
322,1/04/2002,Adelaide Hills,South Australia,Business,2.2811975
323,1/07/2002,Adelaide Hills,South Australia,Business,0
324,1/10/2002,Adelaide Hills,South Australia,Business,0
325,1/01/2003,Adelaide Hills,South Australia,Business,0
326,1/04/2003,Adelaide Hills,South Australia,Business,2.265113
327,1/07/2003,Adelaide Hills,South Australia,Business,2.4946163
328,1/10/2003,Adelaide Hills,South Australia,Business,0
329,1/01/2004,Adelaide Hills,South Australia,Business,4.1064634
330,1/04/2004,Adelaide Hills,South Australia,Business,6.1167046
331,1/07/2004,Adelaide Hills,South Australia,Business,28.6015152
332,1/10/2004,Adelaide Hills,South Australia,Business,5.1464077
333,1/01/2005,Adelaide Hills,South Australia,Business,5.9550873
334,1/04/2005,Adelaide Hills,South Australia,Business,6.9998942
335,1/07/2005,Adelaide Hills,South Australia,Business,0.7188813
336,1/10/2005,Adelaide Hills,South Australia,Business,0
337,1/01/2006,Adelaide Hills,South Australia,Business,1.322368
338,1/04/2006,Adelaide Hills,South Australia,Business,1.348101
339,1/07/2006,Adelaide Hills,South Australia,Business,0.788043
340,1/10/2006,Adelaide Hills,South Australia,Business,2.58543
341,1/01/2007,Adelaide Hills,South Australia,Business,3.4910835
342,1/04/2007,Adelaide Hills,South Australia,Business,1.9444892
343,1/07/2007,Adelaide Hills,South Australia,Business,0.9550753
344,1/10/2007,Adelaide Hills,South Australia,Business,7.4194128
345,1/01/2008,Adelaide Hills,South Australia,Business,4.5110447
346,1/04/2008,Adelaide Hills,South Australia,Business,5.1827222
347,1/07/2008,Adelaide Hills,South Australia,Business,0.7745446
348,1/10/2008,Adelaide Hills,South Australia,Business,0
349,1/01/2009,Adelaide Hills,South Australia,Business,0.4740745
350,1/04/2009,Adelaide Hills,South Australia,Business,1.7390433
351,1/07/2009,Adelaide Hills,South Australia,Business,0
352,1/10/2009,Adelaide Hills,South Australia,Business,7.0883161
353,1/01/2010,Adelaide Hills,South Australia,Business,1.2614911
354,1/04/2010,Adelaide Hills,South Australia,Business,1.5545561
355,1/07/2010,Adelaide Hills,South Australia,Business,4.411182
356,1/10/2010,Adelaide Hills,South Australia,Business,0.7453911
357,1/01/2011,Adelaide Hills,South Australia,Business,0.8340089
358,1/04/2011,Adelaide Hills,South Australia,Business,1.486946
359,1/07/2011,Adelaide Hills,South Australia,Business,8.9171885
360,1/10/2011,Adelaide Hills,South Australia,Business,1.3575087
361,1/01/2012,Adelaide Hills,South Australia,Business,0
362,1/04/2012,Adelaide Hills,South Australia,Business,3.0112114
363,1/07/2012,Adelaide Hills,South Australia,Business,0
364,1/10/2012,Adelaide Hills,South Australia,Business,4.7733067
365,1/01/2013,Adelaide Hills,South Australia,Business,1.7713181
366,1/04/2013,Adelaide Hills,South Australia,Business,2.6677437
367,1/07/2013,Adelaide Hills,South Australia,Business,0
368,1/10/2013,Adelaide Hills,South Australia,Business,0
369,1/01/2014,Adelaide Hills,South Australia,Business,0
370,1/04/2014,Adelaide Hills,South Australia,Business,1.3273655
371,1/07/2014,Adelaide Hills,South Australia,Business,0
372,1/10/2014,Adelaide Hills,South Australia,Business,0
373,1/01/2015,Adelaide Hills,South Australia,Business,0.7312116
374,1/04/2015,Adelaide Hills,South Australia,Business,1.8651584
375,1/07/2015,Adelaide Hills,South Australia,Business,18.0812472
376,1/10/2015,Adelaide Hills,South Australia,Business,0
377,1/01/2016,Adelaide Hills,South Australia,Business,13.9097966
378,1/04/2016,Adelaide Hills,South Australia,Business,0
379,1/07/2016,Adelaide Hills,South Australia,Business,3.8583368
380,1/10/2016,Adelaide Hills,South Australia,Business,0.1173455
381,1/01/1998,Adelaide Hills,South Australia,Holiday,6.8104523
382,1/04/1998,Adelaide Hills,South Australia,Holiday,13.6720871
383,1/07/1998,Adelaide Hills,South Australia,Holiday,12.9211976
384,1/10/1998,Adelaide Hills,South Australia,Holiday,18.1373877
385,1/01/1999,Adelaide Hills,South Australia,Holiday,10.9051648
386,1/04/1999,Adelaide Hills,South Australia,Holiday,16.7807442
387,1/07/1999,Adelaide Hills,South Australia,Holiday,6.9177303
388,1/10/1999,Adelaide Hills,South Australia,Holiday,9.7011935
389,1/01/2000,Adelaide Hills,South Australia,Holiday,15.0217047
390,1/04/2000,Adelaide Hills,South Australia,Holiday,15.0266245
391,1/07/2000,Adelaide Hills,South Australia,Holiday,35.7513371
392,1/10/2000,Adelaide Hills,South Australia,Holiday,6.9048294
393,1/01/2001,Adelaide Hills,South Australia,Holiday,0
394,1/04/2001,Adelaide Hills,South Australia,Holiday,8.5686541
395,1/07/2001,Adelaide Hills,South Australia,Holiday,6.8432419
396,1/10/2001,Adelaide Hills,South Australia,Holiday,2.0958331
397,1/01/2002,Adelaide Hills,South Australia,Holiday,10.0677382
398,1/04/2002,Adelaide Hills,South Australia,Holiday,13.9655569
399,1/07/2002,Adelaide Hills,South Australia,Holiday,8.210802
400,1/10/2002,Adelaide Hills,South Australia,Holiday,11.2447404
401,1/01/2003,Adelaide Hills,South Australia,Holiday,7.6936875
402,1/04/2003,Adelaide Hills,South Australia,Holiday,1.2393061
403,1/07/2003,Adelaide Hills,South Australia,Holiday,8.1428229
404,1/10/2003,Adelaide Hills,South Australia,Holiday,2.7774158
405,1/01/2004,Adelaide Hills,South Australia,Holiday,20.6068023
406,1/04/2004,Adelaide Hills,South Australia,Holiday,4.0609206
407,1/07/2004,Adelaide Hills,South Australia,Holiday,16.159782
408,1/10/2004,Adelaide Hills,South Australia,Holiday,8.492838
409,1/01/2005,Adelaide Hills,South Australia,Holiday,9.0009987
410,1/04/2005,Adelaide Hills,South Australia,Holiday,7.2371547
411,1/07/2005,Adelaide Hills,South Australia,Holiday,6.4905447
412,1/10/2005,Adelaide Hills,South Australia,Holiday,3.5300866
413,1/01/2006,Adelaide Hills,South Australia,Holiday,9.258452
414,1/04/2006,Adelaide Hills,South Australia,Holiday,6.678015
415,1/07/2006,Adelaide Hills,South Australia,Holiday,5.770516
416,1/10/2006,Adelaide Hills,South Australia,Holiday,5.642634
417,1/01/2007,Adelaide Hills,South Australia,Holiday,7.783172
418,1/04/2007,Adelaide Hills,South Australia,Holiday,5.2993434
419,1/07/2007,Adelaide Hills,South Australia,Holiday,4.8560908
420,1/10/2007,Adelaide Hills,South Australia,Holiday,12.3934947
421,1/01/2008,Adelaide Hills,South Australia,Holiday,4.7703495
422,1/04/2008,Adelaide Hills,South Australia,Holiday,8.3249579
423,1/07/2008,Adelaide Hills,South Australia,Holiday,8.5390942
424,1/10/2008,Adelaide Hills,South Australia,Holiday,7.9047397
425,1/01/2009,Adelaide Hills,South Australia,Holiday,6.7295009
426,1/04/2009,Adelaide Hills,South Australia,Holiday,3.7608167
427,1/07/2009,Adelaide Hills,South Australia,Holiday,6.5875964
428,1/10/2009,Adelaide Hills,South Australia,Holiday,11.9245373
429,1/01/2010,Adelaide Hills,South Australia,Holiday,2.5127822
430,1/04/2010,Adelaide Hills,South Australia,Holiday,5.2512939
431,1/07/2010,Adelaide Hills,South Australia,Holiday,6.7521319
432,1/10/2010,Adelaide Hills,South Australia,Holiday,13.1153901
433,1/01/2011,Adelaide Hills,South Australia,Holiday,6.3379975
434,1/04/2011,Adelaide Hills,South Australia,Holiday,8.0623412
435,1/07/2011,Adelaide Hills,South Australia,Holiday,5.6189895
436,1/10/2011,Adelaide Hills,South Australia,Holiday,16.751851
437,1/01/2012,Adelaide Hills,South Australia,Holiday,4.6416648
438,1/04/2012,Adelaide Hills,South Australia,Holiday,22.0608883
439,1/07/2012,Adelaide Hills,South Australia,Holiday,4.7464807
440,1/10/2012,Adelaide Hills,South Australia,Holiday,4.9041933
441,1/01/2013,Adelaide Hills,South Australia,Holiday,2.9074736
442,1/04/2013,Adelaide Hills,South Australia,Holiday,24.2493715
443,1/07/2013,Adelaide Hills,South Australia,Holiday,13.6249076
444,1/10/2013,Adelaide Hills,South Australia,Holiday,15.584661
445,1/01/2014,Adelaide Hills,South Australia,Holiday,13.1612756
446,1/04/2014,Adelaide Hills,South Australia,Holiday,19.9885048
447,1/07/2014,Adelaide Hills,South Australia,Holiday,4.2122145
448,1/10/2014,Adelaide Hills,South Australia,Holiday,4.1815956
449,1/01/2015,Adelaide Hills,South Australia,Holiday,12.0771581
450,1/04/2015,Adelaide Hills,South Australia,Holiday,26.4468084
451,1/07/2015,Adelaide Hills,South Australia,Holiday,18.9311208
452,1/10/2015,Adelaide Hills,South Australia,Holiday,20.767052
453,1/01/2016,Adelaide Hills,South Australia,Holiday,21.6138858
454,1/04/2016,Adelaide Hills,South Australia,Holiday,11.2939838
455,1/07/2016,Adelaide Hills,South Australia,Holiday,15.490573
